index,price,change,perc_change
Nifty 50,22468.15,-33.85,-0.15
BSE Sensex,73869.96,-135.98,-0.18
Nifty Bank,48133.7,-65.8,-0.14
Nifty IT,33318.4,-120.35,-0.36
BSE SmallCap,47808.15,-151.52,-0.32
BSE MidCap,43030.44,-17.08,-0.04
Nifty Auto,23308.35,-30.95,-0.13
BSE Cap Goods,67756.03,673.48,1.0
BSE Cons Durable,55192.42,169.65,0.31
BSE FMCG,19792.97,-116.2,-0.58
BSE Healthcare,35593.39,-64.11,-0.18
BSE Metals,32966.81,422.55,1.3
BSE Oil & Gas,28989.22,54.0,0.19
BSE Teck,15898.58,-45.67,-0.29
Nifty PSE,10579.05,134.05,1.28
