headlines,URL
BJPs Sambit Patra to observe fast as penanace amid backlash over Lord Jagannath remark,https://www.moneycontrol.com/elections/lok-sabha-election/odisha/bjps-sambit-patra-to-observe-fast-as-penanace-amid-backlash-over-lord-jagannath-remark-article-12728085.html
Madras High Court bars Binny promoters from accessing company funds,https://www.moneycontrol.com/news/business/madras-high-court-bars-binny-promoters-from-accessing-company-funds-12728046.html
Foreign education loan How to get the best deal,https://www.moneycontrol.com/news/business/personal-finance/foreign-education-loan-how-to-get-the-best-deal-12727715.html
Heeramandi actress Shruti Sharma on Sharmin Segal being trolled for her role of Alamzeb in the series Trolling is a very negative thing I dont support trolling at all,https://www.moneycontrol.com/entertainment/tv/heeramandi-actress-shruti-sharma-on-sharmin-segal-being-trolled-for-her-role-of-alamzeb-in-the-series-trolling-is-a-very-negative-thing-i-dont-support-trolling-at-all-article-12728057.html
Japanese animation Studio Ghibli makes history with honorary Palm dOr at Cannes Film Festival,https://www.moneycontrol.com/entertainment/movies/japanese-animation-studio-ghibli-makes-history-with-honorary-palm-dor-at-cannes-film-festival-article-12728079.html
Moneycontrol Selects Top stories this morning,https://www.moneycontrol.com/news/business/moneycontrol-selects-top-stories-this-morning-92-12728021.html
Skincare routine 8 Korean beauty tips and hacks for men,https://www.moneycontrol.com/lifestyle/skincare-routine-8-korean-beauty-tips-and-hacks-for-men-article-12727637.html
Option strategy of the dayLong build up in Bata India Use bull call spread for upside,https://www.moneycontrol.com/news/business/markets/option-strategy-of-the-daylong-build-up-in-bata-india-use-bull-call-spread-for-upside-12728011.html
Puri Lok Sabha Elections 2024 Voting date results candidates main parties and schedule,https://www.moneycontrol.com/elections/lok-sabha-election/odisha/puri-lok-sabha-elections-2024-voting-date-results-candidates-main-parties-and-schedule-article-12728060.html
3 Hong Kongbased FPIs get NSE notice for derivatives market trades,https://www.moneycontrol.com/news/business/3-hong-kong-based-fpis-get-nse-notice-for-derivatives-market-trades-12728055.html
Uneven pay opacity and central shotcalling force VC partners to strike out on their own,https://www.moneycontrol.com/technology/uneven-pay-opacity-and-central-shotcalling-force-vc-partners-to-strike-out-on-their-own-article-12728022.html
Bengaluru doctor finds oily frothy liquid in Amul ice cream ordered from Zepto Gross stuff,https://www.moneycontrol.com/news/trends/bengaluru-doctor-finds-oily-frothy-liquid-in-amul-ice-cream-ordered-from-zepto-gross-stuff-12727926.html
Zodiac Ventures Consolidated March 2024 Net Sales at Rs 008 crore down 9992 YoY,https://www.moneycontrol.com/news/business/earnings/zodiac-ventures-consolidated-march-2024-net-sales-at-rs-0-08-crore-down-99-92-y-o-y-12728089.html
Deepak Nitrite Consolidated March 2024 Net Sales at Rs 212621 crore up 84 YoY,https://www.moneycontrol.com/news/business/earnings/deepak-nitrite-consolidated-march-2024-net-sales-at-rs-2126-21-crore-up-8-4-y-o-y-12728088.html
Global Educatio Consolidated March 2024 Net Sales at Rs 1920 crore down 1476 YoY,https://www.moneycontrol.com/news/business/earnings/global-educatio-consolidated-march-2024-net-sales-at-rs-19-20-crore-down-14-76-y-o-y-12728087.html
